Code,BEHIND:AWAY,CLR:BU,CLR:CSB,CLR:TI,EFFORT:SPOIL,FK:AGAINST,FK:FOR,GOAL:AWAY,HB:EF,HB:IE,HB:TO,I50:INDIVIDUAL,KICK:EF,KICK:IE,KICK:TO,MARK:CONT,MARK:F50,MARK:INT,MARK:UC,POSS:CONT,POSS:HB REC,POSS:UNCON,RUCK:HO,TACKLE:EF
STOP,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AWAY BEHIND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AWAY BU WIN,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
AWAY CSB WIN,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
AWAY GOAL,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AWAY I50,3,1,0,1,0,2,0,0,0,0,0,0,1,5,0,0,1,0,1,0,0,1,0,1
AWAY RUSHED,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AWAY TI WIN,1,0,0,0,0,2,0,0,0,0,0,2,2,1,0,0,0,0,1,0,0,1,0,0
Free Kick- Umpires,0,0,0,2,0,0,24,0,0,0,0,5,9,6,0,0,0,0,3,24,0,3,0,0
A01,0,0,1,0,0,1,0,0,2,2,0,3,9,3,0,0,0,2,5,5,3,10,0,0
A03,0,1,0,3,0,0,2,0,8,1,0,4,4,6,2,0,0,0,5,6,9,15,0,3
A07,1,2,0,1,0,2,1,0,8,1,0,6,7,6,2,0,2,0,6,11,3,13,0,2
A09,0,0,0,0,0,0,3,0,4,0,0,1,11,4,1,0,0,0,4,6,3,14,0,0
A10,2,0,0,1,0,3,2,0,3,0,0,5,5,6,0,0,2,0,5,7,3,9,0,1
A11,0,0,0,0,0,0,3,0,6,1,0,2,4,2,0,0,0,0,2,7,3,6,0,2
A13,2,1,1,0,0,1,0,0,1,1,0,3,4,6,0,0,0,0,2,5,3,7,1,1
A14,0,0,1,0,1,2,1,0,4,0,0,2,1,4,0,1,0,0,0,6,3,3,31,1
A16,1,0,0,0,0,0,0,1,2,1,0,1,2,1,0,0,1,0,1,3,0,3,0,1
A18,0,2,0,0,0,1,1,2,3,0,0,6,9,3,2,1,1,1,6,7,1,9,15,6
A19,0,3,0,4,0,1,1,1,3,2,0,5,11,6,1,0,1,0,5,12,5,11,0,6
A21,0,0,0,0,1,2,0,0,3,1,0,0,2,3,1,0,0,2,4,4,1,5,0,0
A22,1,1,0,1,0,5,0,1,3,1,0,4,8,7,4,0,1,0,9,4,9,19,0,2
A23,1,4,0,3,0,2,2,1,4,1,0,7,5,10,1,1,0,0,4,12,6,10,0,2
A24,0,0,0,0,2,2,3,0,2,0,0,2,10,3,0,1,0,3,4,6,3,9,0,0
A28,0,0,0,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,2,2,4,8,0,0
A30,0,1,0,0,0,2,1,0,7,1,2,1,2,1,1,0,0,0,3,6,3,8,0,3
A31,0,0,0,0,2,0,0,0,2,0,0,0,6,1,0,0,0,1,4,2,2,7,0,0
A34,1,0,1,2,0,1,2,0,6,2,0,2,3,5,0,0,0,1,3,8,5,8,0,2
A42,0,4,1,6,1,1,1,1,13,0,0,4,12,8,0,1,0,1,2,24,7,9,1,2
A45,0,0,0,0,1,1,2,0,3,1,0,2,3,3,1,1,0,2,4,5,2,7,1,4
A49,1,0,0,0,0,1,0,0,3,2,1,2,0,4,0,0,0,0,1,5,3,5,0,1
HOME KICKIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIGHLIGHT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
